"Búsquese una Vida -El Kanka-",101
"Sweetness -Yes-",100
"No Woman -Whitney-",101
"BABY BLUE -Fishmans-", 199
"Where'd All The Time Go? -Dr. Dog-",101
"Parade -Kevin Morby-",101
"Sin Triangle -Sidney Gish-",101
"It Takes Time To Be A Man -The Rapture-",101
"Bruce Willis -Gativideo-",101
"This Year -The Mountain Goats",100
"Here's Your Future -The Thermals-",100
"King Of Carrot Flowers Pt. 1 -Neutral Milk Hotel-",199
"The Start Of Something -Voxtrot-",100
"Rocket Brothers -Kashmir-",100
"また明日 (Alternate Version) -Ogre You Asshole-",101
